Type,Field,Genotype,Block,Length,Width,Area,Weight
Triticum aestivum,Field_1,CV_2,I,7.35,4.02,22.39,60.92
Triticum aestivum,Field_1,CV_2,I,4.42,2.14,6.93,12.93
Triticum aestivum,Field_1,CV_2,I,6.45,4.0,19.48,50.67
Triticum aestivum,Field_1,CV_2,I,5.53,2.91,12.43,27.98
Triticum aestivum,Field_1,CV_2,I,5.56,2.35,9.49,19.59
Triticum aestivum,Field_1,CV_2,I,4.47,2.73,9.3,19.08
Triticum aestivum,Field_1,CV_2,I,4.94,1.98,7.36,13.99
Triticum aestivum,Field_1,CV_2,I,4.74,2.59,9.21,18.82
Triticum aestivum,Field_1,CV_2,I,6.79,3.51,17.8,45.0
Triticum aestivum,Field_1,CV_2,I,6.53,3.45,17.79,44.94
Triticum aestivum,Field_1,CV_2,I,6.81,3.84,19.95,52.29
Triticum aestivum,Field_1,CV_2,I,6.65,3.53,18.09,45.95
Triticum aestivum,Field_1,CV_2,I,5.24,2.69,10.74,23.06
Triticum aestivum,Field_1,CV_2,I,6.24,3.39,16.12,39.46
Triticum aestivum,Field_1,CV_2,I,5.57,2.95,12.33,27.69
Triticum aestivum,Field_1,CV_2,I,6.75,3.41,16.88,41.95
Triticum aestivum,Field_1,CV_2,I,4.75,2.48,9.11,18.56
Triticum aestivum,Field_1,CV_2,I,6.68,3.56,18.3,46.66
Triticum aestivum,Field_1,CV_2,I,5.39,3.0,12.28,27.54
Triticum aestivum,Field_1,CV_2,I,5.53,2.45,10.38,22.04
Triticum aestivum,Field_1,CV_2,I,6.45,2.57,12.48,28.14
Triticum aestivum,Field_1,CV_2,I,6.5,3.18,15.78,38.35
Triticum aestivum,Field_1,CV_2,I,6.4,3.43,17.1,42.65
Triticum aestivum,Field_1,CV_2,I,6.07,3.9,17.99,45.62
Triticum aestivum,Field_1,CV_2,I,6.78,3.06,15.98,39.01
Triticum aestivum,Field_1,CV_2,I,6.7,2.98,14.99,35.84
Triticum aestivum,Field_1,CV_2,I,6.13,2.76,12.92,29.44
Triticum aestivum,Field_1,CV_2,I,6.31,2.66,12.11,27.04
Triticum aestivum,Field_1,CV_2,I,6.91,3.34,17.73,44.76
Triticum aestivum,Field_1,CV_2,I,5.91,3.16,13.92,32.49
Triticum aestivum,Field_1,CV_2,I,5.06,2.83,11.05,23.95
Triticum aestivum,Field_1,CV_2,I,5.72,2.7,11.36,24.84
Triticum aestivum,Field_1,CV_2,I,6.46,4.15,19.92,52.2
Triticum aestivum,Field_1,CV_2,I,6.57,3.94,19.34,50.19
Triticum aestivum,Field_1,CV_2,I,6.19,3.15,14.96,35.76
Triticum aestivum,Field_1,CV_2,I,4.77,3.11,11.39,24.94
Triticum aestivum,Field_1,CV_2,I,6.68,3.51,18.63,47.77
Triticum aestivum,Field_1,CV_2,I,6.61,3.46,17.88,45.23
Triticum aestivum,Field_1,CV_2,I,7.49,3.8,21.47,57.63
Triticum aestivum,Field_1,CV_2,I,4.59,2.54,8.81,17.75
Triticum aestivum,Field_1,CV_2,I,7.0,3.47,18.67,47.92
Triticum aestivum,Field_1,CV_2,I,6.61,3.35,16.79,41.66
Triticum aestivum,Field_1,CV_2,I,6.75,3.83,20.12,52.91
Triticum aestivum,Field_1,CV_2,I,6.76,3.71,18.98,48.97
Triticum aestivum,Field_1,CV_2,I,6.27,2.59,11.97,26.62
Triticum aestivum,Field_1,CV_2,I,7.16,3.89,21.08,56.25
Triticum aestivum,Field_1,CV_2,I,6.79,4.14,21.31,57.07
Triticum aestivum,Field_1,CV_2,I,4.68,2.1,7.55,14.48
Triticum aestivum,Field_1,CV_2,I,5.96,2.45,11.02,23.87
Triticum aestivum,Field_1,CV_2,I,6.4,2.57,12.64,28.62
Triticum aestivum,Field_1,CV_2,I,5.81,3.14,13.55,31.38
Triticum aestivum,Field_1,CV_2,I,5.94,3.14,13.96,32.63
Triticum aestivum,Field_1,CV_2,I,6.76,3.3,17.27,43.23
Triticum aestivum,Field_1,CV_2,I,6.47,3.14,15.99,39.04
Triticum aestivum,Field_1,CV_2,I,6.61,3.65,18.5,47.35
Triticum aestivum,Field_1,CV_2,I,4.81,2.65,9.88,20.66
Triticum aestivum,Field_1,CV_2,I,6.02,3.66,16.63,41.11
Triticum aestivum,Field_1,CV_2,I,6.13,3.59,16.54,40.82
Triticum aestivum,Field_1,CV_2,I,3.73,2.26,6.32,11.45
Triticum aestivum,Field_1,CV_2,I,6.5,3.91,19.96,52.35
Triticum aestivum,Field_1,CV_2,I,4.98,2.58,9.85,20.56
Triticum aestivum,Field_1,CV_2,I,7.02,3.64,20.38,53.8
Triticum aestivum,Field_1,CV_2,I,5.02,2.64,10.07,21.17
Triticum aestivum,Field_1,CV_2,I,7.16,3.15,17.5,43.99
Triticum aestivum,Field_1,CV_2,I,7.05,3.55,19.25,49.88
Triticum aestivum,Field_1,CV_2,I,5.46,2.7,11.19,24.36
Triticum aestivum,Field_1,CV_2,I,5.57,2.26,8.99,18.22
Triticum aestivum,Field_1,CV_2,I,5.64,3.65,15.92,38.81
Triticum aestivum,Field_1,CV_2,I,6.15,2.47,11.53,25.33
Triticum aestivum,Field_1,CV_2,I,5.39,2.56,10.37,22.01
Triticum aestivum,Field_1,CV_2,I,7.04,3.26,17.52,44.05
Triticum aestivum,Field_1,CV_2,I,6.55,3.31,16.76,41.54
Triticum aestivum,Field_1,CV_2,I,6.23,3.31,15.82,38.49
Triticum aestivum,Field_1,CV_2,I,6.19,3.37,16.04,39.21
Triticum aestivum,Field_1,CV_2,I,6.24,3.06,14.75,35.09
Triticum aestivum,Field_1,CV_2,I,6.13,2.5,11.0,23.8
Triticum aestivum,Field_1,CV_2,I,6.36,3.32,15.68,38.04
Triticum aestivum,Field_1,CV_2,I,5.84,2.6,11.05,23.95
Triticum aestivum,Field_1,CV_2,I,6.85,2.92,15.02,35.95
Triticum aestivum,Field_1,CV_2,I,6.73,3.51,18.18,46.24
Triticum aestivum,Field_1,CV_2,I,6.65,3.38,17.62,44.38
Triticum aestivum,Field_1,CV_2,I,5.95,2.19,9.76,20.32
Triticum aestivum,Field_1,CV_2,I,6.45,3.1,15.32,36.88
Triticum aestivum,Field_1,CV_2,I,6.71,3.0,14.63,34.72
Triticum aestivum,Field_1,CV_2,I,6.97,3.04,15.15,36.34
Triticum aestivum,Field_1,CV_2,I,4.84,2.61,9.77,20.37
Triticum aestivum,Field_1,CV_2,I,4.95,2.35,8.58,17.14
Triticum aestivum,Field_1,CV_2,I,6.87,4.03,21.26,56.88
Triticum aestivum,Field_1,CV_2,I,6.55,3.0,14.92,35.62
Triticum aestivum,Field_1,CV_2,I,5.89,3.06,13.39,30.86
Triticum aestivum,Field_1,CV_2,I,5.72,2.26,8.89,17.96
Triticum aestivum,Field_1,CV_2,I,4.32,2.55,8.48,16.88
Triticum aestivum,Field_1,CV_2,I,6.95,3.2,16.85,41.83
Triticum aestivum,Field_1,CV_2,I,5.84,2.92,12.64,28.62
Triticum aestivum,Field_1,CV_2,I,5.87,2.56,11.05,23.95
Triticum aestivum,Field_1,CV_2,I,6.4,3.85,19.01,49.06
Triticum aestivum,Field_1,CV_2,I,6.32,3.44,17.36,43.52
Triticum aestivum,Field_1,CV_2,I,5.82,2.43,10.72,23.01
Triticum aestivum,Field_1,CV_2,I,7.03,3.72,20.04,52.6
Triticum aestivum,Field_1,CV_2,I,6.53,2.58,13.06,29.87
Triticum aestivum,Field_1,CV_2,I,6.81,3.17,16.28,39.98
Triticum aestivum,Field_1,CV_2,I,6.97,3.33,17.08,42.59
Triticum aestivum,Field_1,CV_2,I,6.61,3.26,16.88,41.95
Triticum aestivum,Field_1,CV_2,I,4.98,2.62,9.49,19.59
Triticum aestivum,Field_1,CV_2,I,6.44,3.94,20.55,54.39
Triticum aestivum,Field_1,CV_2,I,6.36,3.62,17.37,43.55
Triticum aestivum,Field_1,CV_2,I,5.25,2.62,10.45,22.24
Triticum aestivum,Field_1,CV_2,I,6.98,3.51,18.65,47.86
Triticum aestivum,Field_1,CV_2,I,5.99,2.87,12.74,28.91
Triticum aestivum,Field_1,CV_2,I,6.55,3.57,16.91,42.03
Triticum aestivum,Field_1,CV_2,I,6.62,3.02,14.71,34.97
Triticum aestivum,Field_1,CV_2,I,7.05,3.82,21.39,57.35
Triticum aestivum,Field_1,CV_2,I,6.19,2.66,12.51,28.22
Triticum aestivum,Field_1,CV_2,I,6.61,2.58,12.55,28.35
Triticum aestivum,Field_1,CV_2,I,6.56,2.68,14.12,33.12
Triticum aestivum,Field_1,CV_2,I,6.02,3.58,16.07,39.29
Triticum aestivum,Field_1,CV_2,I,5.65,2.86,11.85,26.28
Triticum aestivum,Field_1,CV_2,I,6.25,2.92,14.33,33.78
Triticum aestivum,Field_1,CV_2,I,6.57,3.95,19.59,51.07
Triticum aestivum,Field_1,CV_2,I,5.91,3.08,13.63,31.59
Triticum aestivum,Field_1,CV_2,I,6.8,3.85,19.18,49.64
Triticum aestivum,Field_1,CV_2,I,6.25,3.27,14.96,35.76
Triticum aestivum,Field_1,CV_2,I,6.31,3.69,18.29,46.63
Triticum aestivum,Field_1,CV_2,I,5.2,2.0,7.49,14.32
Triticum aestivum,Field_1,CV_2,I,6.2,3.08,14.84,35.36
Triticum aestivum,Field_1,CV_2,I,6.53,3.67,17.73,44.76
Triticum aestivum,Field_1,CV_2,I,6.61,2.87,15.17,36.43
Triticum aestivum,Field_1,CV_2,I,7.11,2.6,14.03,32.85
Triticum aestivum,Field_1,CV_2,I,6.07,3.21,14.91,35.59
Triticum aestivum,Field_1,CV_2,I,5.95,2.46,11.01,23.85
Triticum aestivum,Field_1,CV_2,I,6.13,2.12,10.04,21.1
Triticum aestivum,Field_1,CV_2,I,6.8,3.61,18.41,47.02
Triticum aestivum,Field_1,CV_2,I,6.26,3.23,15.1,36.18
Triticum aestivum,Field_1,CV_2,I,6.45,3.6,17.57,44.23
Triticum aestivum,Field_1,CV_2,I,5.61,2.5,10.98,23.75
Triticum aestivum,Field_1,CV_2,I,6.71,3.32,17.41,43.7
Triticum aestivum,Field_1,CV_2,I,6.82,3.73,19.99,52.45
Triticum aestivum,Field_1,CV_2,I,4.82,2.57,9.54,19.73
Triticum aestivum,Field_1,CV_2,I,4.58,2.41,8.19,16.12
Triticum aestivum,Field_1,CV_2,I,6.5,3.87,18.88,48.64
Triticum aestivum,Field_1,CV_2,I,5.76,2.78,12.29,27.56
Triticum aestivum,Field_1,CV_2,I,6.19,3.5,16.8,41.69
Triticum aestivum,Field_1,CV_2,I,5.91,3.04,13.65,31.68
Triticum aestivum,Field_1,CV_2,I,5.51,3.03,12.96,29.58
Triticum aestivum,Field_1,CV_2,I,5.91,3.05,13.94,32.55
Triticum aestivum,Field_1,CV_2,I,6.31,3.3,15.55,37.61
Triticum aestivum,Field_1,CV_2,I,6.5,3.54,17.64,44.47
Triticum aestivum,Field_1,CV_2,I,4.21,1.73,5.37,9.24
Triticum aestivum,Field_1,CV_2,I,5.91,3.03,13.75,31.98
Triticum aestivum,Field_1,CV_2,I,6.9,3.33,18.26,46.51
Triticum aestivum,Field_1,CV_2,I,6.64,3.66,18.36,46.87
Triticum aestivum,Field_1,CV_2,I,6.34,2.91,14.15,33.21
Triticum aestivum,Field_1,CV_2,I,6.63,3.89,19.27,49.94
Triticum aestivum,Field_1,CV_2,I,6.21,2.87,13.72,31.89
Triticum aestivum,Field_1,CV_2,I,5.62,2.49,9.97,20.9
Triticum aestivum,Field_1,CV_2,I,7.01,3.73,20.82,55.35
Triticum aestivum,Field_1,CV_2,I,6.87,3.55,19.34,50.22
Triticum aestivum,Field_1,CV_2,I,5.76,3.91,17.12,42.73
Triticum aestivum,Field_1,CV_2,I,7.16,3.25,17.37,43.55
Triticum aestivum,Field_1,CV_2,I,4.46,2.51,8.25,16.28
Triticum aestivum,Field_1,CV_2,I,6.61,3.68,19.45,50.58
Triticum aestivum,Field_1,CV_2,I,6.23,3.04,14.81,35.28
Triticum aestivum,Field_1,CV_2,I,6.68,3.47,17.45,43.82
Triticum aestivum,Field_1,CV_2,I,6.37,4.0,18.76,48.22
Triticum aestivum,Field_1,CV_2,I,5.93,2.48,10.77,23.14
Triticum aestivum,Field_1,CV_2,I,6.06,3.19,15.25,36.68
Triticum aestivum,Field_1,CV_2,I,6.71,3.61,18.98,48.97
Triticum aestivum,Field_1,CV_2,I,6.31,2.99,13.8,32.14
Triticum aestivum,Field_1,CV_2,I,6.48,3.54,18.38,46.93
Triticum aestivum,Field_1,CV_2,I,6.43,3.7,18.71,48.04
Triticum aestivum,Field_1,CV_2,I,6.23,3.41,16.73,41.45
Triticum aestivum,Field_1,CV_2,I,5.61,2.12,8.68,17.4
Triticum aestivum,Field_1,CV_2,I,5.98,3.3,14.72,35.0
Triticum aestivum,Field_1,CV_2,I,6.32,3.18,15.5,37.47
Triticum aestivum,Field_1,CV_2,I,6.02,2.73,12.2,27.3
Triticum aestivum,Field_1,CV_2,I,6.05,3.65,17.14,42.79
Triticum aestivum,Field_1,CV_2,I,6.68,3.45,17.91,45.35
Triticum aestivum,Field_1,CV_2,I,6.43,4.07,20.58,54.51
Triticum aestivum,Field_1,CV_2,I,6.27,3.76,17.97,45.56
Triticum aestivum,Field_1,CV_2,I,6.3,3.5,16.66,41.22
Triticum aestivum,Field_1,CV_2,I,6.26,3.34,16.09,39.35
Triticum aestivum,Field_1,CV_2,I,6.15,3.28,15.88,38.69
Triticum aestivum,Field_1,CV_2,I,6.42,3.69,18.34,46.81
Triticum aestivum,Field_1,CV_2,I,6.37,2.68,12.87,29.31
Triticum aestivum,Field_1,CV_2,I,5.76,3.73,16.12,39.46
Triticum aestivum,Field_1,CV_2,I,6.8,3.56,18.62,47.74
Triticum aestivum,Field_1,CV_2,I,6.21,3.03,14.78,35.17
Triticum aestivum,Field_1,CV_2,I,5.42,2.59,10.23,21.64
Triticum aestivum,Field_1,CV_2,I,5.5,2.31,9.72,20.22
Triticum aestivum,Field_1,CV_2,I,6.87,2.95,15.54,37.59
Triticum aestivum,Field_1,CV_2,I,6.7,3.46,17.36,43.52
Triticum aestivum,Field_1,CV_2,I,6.5,2.79,13.42,30.97
Triticum aestivum,Field_1,CV_2,I,5.72,2.6,11.44,25.07
Triticum aestivum,Field_1,CV_2,I,6.31,2.88,14.14,33.18
Triticum aestivum,Field_1,CV_2,I,6.36,3.03,14.63,34.72
Triticum aestivum,Field_1,CV_2,I,6.97,3.5,18.46,47.2
Triticum aestivum,Field_1,CV_2,I,6.62,3.6,18.27,46.57
Triticum aestivum,Field_1,CV_2,I,6.28,3.6,17.01,42.36
Triticum aestivum,Field_1,CV_2,I,6.7,3.5,17.35,43.5
Triticum aestivum,Field_1,CV_2,I,6.53,3.71,17.7,44.64
Triticum aestivum,Field_1,CV_2,I,7.04,3.4,18.57,47.56
Triticum aestivum,Field_1,CV_2,I,5.96,3.08,14.01,32.79
Triticum aestivum,Field_1,CV_2,I,6.65,4.22,21.51,57.76
Triticum aestivum,Field_1,CV_2,I,5.43,2.76,11.35,24.81
Triticum aestivum,Field_1,CV_2,I,6.52,3.85,19.52,50.82
Triticum aestivum,Field_1,CV_2,I,6.63,3.43,17.48,43.91
Triticum aestivum,Field_1,CV_2,I,6.17,3.47,16.54,40.82
Triticum aestivum,Field_1,CV_2,I,6.53,3.83,19.37,50.31
Triticum aestivum,Field_1,CV_2,I,6.37,3.19,16.1,39.41
Triticum aestivum,Field_1,CV_2,I,6.57,3.22,16.19,39.69
Triticum aestivum,Field_1,CV_2,I,6.79,3.54,18.18,46.24
Triticum aestivum,Field_1,CV_2,I,6.08,3.81,17.72,44.7
Triticum aestivum,Field_1,CV_2,I,6.61,3.59,17.59,44.29
Triticum aestivum,Field_1,CV_2,I,6.36,3.45,16.98,42.27
Triticum aestivum,Field_1,CV_2,I,4.59,1.87,6.19,11.13
Triticum aestivum,Field_1,CV_2,I,6.16,2.51,11.72,25.9
Triticum aestivum,Field_1,CV_2,I,6.47,3.36,17.1,42.68
Triticum aestivum,Field_1,CV_2,I,6.65,2.87,15.02,35.95
Triticum aestivum,Field_1,CV_2,I,6.8,3.3,16.89,41.98
Triticum aestivum,Field_1,CV_2,I,6.01,3.11,14.03,32.85
Triticum aestivum,Field_1,CV_2,I,6.85,3.66,18.71,48.04
Triticum aestivum,Field_1,CV_2,I,7.22,3.49,18.54,47.47
Triticum aestivum,Field_1,CV_2,I,7.19,3.59,20.0,52.48
Triticum aestivum,Field_1,CV_2,I,6.51,3.32,16.79,41.63
Triticum aestivum,Field_1,CV_2,I,5.68,2.57,10.93,23.62
Triticum aestivum,Field_1,CV_2,I,6.92,3.02,15.94,38.86
Triticum aestivum,Field_1,CV_2,I,5.43,2.85,11.73,25.92
Triticum aestivum,Field_1,CV_2,I,6.4,3.9,18.9,48.7
Triticum aestivum,Field_1,CV_2,I,7.05,3.66,19.92,52.2
Triticum aestivum,Field_1,CV_2,I,6.73,3.99,21.27,56.91
Triticum aestivum,Field_1,CV_2,I,6.29,3.39,16.86,41.86
Triticum aestivum,Field_1,CV_2,I,6.37,2.73,12.56,28.38
Triticum aestivum,Field_1,CV_2,I,6.42,3.29,16.65,41.19
Triticum aestivum,Field_1,CV_2,I,7.19,3.75,21.32,57.1
Triticum aestivum,Field_1,CV_2,I,4.91,2.67,10.02,21.05
Triticum aestivum,Field_1,CV_2,I,6.71,3.15,16.43,40.47
Triticum aestivum,Field_1,CV_2,I,7.24,3.53,19.75,51.62
Triticum aestivum,Field_1,CV_2,I,6.07,3.51,15.84,38.55
Triticum aestivum,Field_1,CV_2,I,5.66,2.79,11.82,26.18
Triticum aestivum,Field_1,CV_2,I,6.94,3.82,20.12,52.91
Triticum aestivum,Field_1,CV_2,I,6.46,3.5,16.47,40.59
Triticum aestivum,Field_1,CV_2,I,6.85,3.24,17.32,43.38
Triticum aestivum,Field_1,CV_2,I,6.72,3.64,18.98,48.97
Triticum aestivum,Field_1,CV_2,I,6.97,3.59,18.49,47.29
Triticum aestivum,Field_1,CV_2,I,5.87,4.02,17.96,45.53
Triticum aestivum,Field_1,CV_2,I,7.05,3.7,19.65,51.28
Triticum aestivum,Field_1,CV_2,I,5.13,2.6,10.07,21.17
Triticum aestivum,Field_1,CV_2,I,5.43,2.72,11.32,24.74
Triticum aestivum,Field_1,CV_2,I,6.68,4.06,20.48,54.14
Triticum aestivum,Field_1,CV_2,I,6.26,3.14,15.05,36.04
Triticum aestivum,Field_1,CV_2,I,6.14,2.62,11.99,26.67
Triticum aestivum,Field_1,CV_2,I,6.57,4.02,20.85,55.44
Triticum aestivum,Field_1,CV_2,I,5.86,2.75,12.52,28.25
Triticum aestivum,Field_1,CV_2,I,4.88,2.84,10.56,22.56
Triticum aestivum,Field_1,CV_2,I,6.91,3.63,18.77,48.25
Triticum aestivum,Field_1,CV_2,I,7.24,3.88,22.09,59.84
Triticum aestivum,Field_1,CV_2,I,6.87,4.34,22.63,61.78
Triticum aestivum,Field_1,CV_2,I,6.55,3.21,16.49,40.67
Triticum aestivum,Field_1,CV_2,I,6.11,3.13,14.54,34.42
Triticum aestivum,Field_1,CV_2,I,7.18,3.42,19.32,50.12
Triticum aestivum,Field_1,CV_2,I,6.85,3.4,18.32,46.72
Triticum aestivum,Field_1,CV_2,I,5.96,2.47,11.01,23.85
Triticum aestivum,Field_1,CV_2,I,6.86,3.86,19.39,50.37
Triticum aestivum,Field_1,CV_2,I,7.06,3.97,22.66,61.91
Triticum aestivum,Field_1,CV_2,I,7.11,4.44,24.63,69.11
Triticum aestivum,Field_1,CV_2,I,6.62,3.71,18.92,48.76
Triticum aestivum,Field_1,CV_2,I,6.73,3.58,18.72,48.07
Triticum aestivum,Field_1,CV_2,I,6.26,2.86,14.06,32.93
Triticum aestivum,Field_1,CV_2,I,5.91,3.39,14.94,35.7
Triticum aestivum,Field_1,CV_2,I,7.1,3.72,20.61,54.61
Triticum aestivum,Field_1,CV_2,I,6.7,3.56,18.73,48.13
Triticum aestivum,Field_1,CV_2,I,6.65,3.47,18.1,45.98
Triticum aestivum,Field_1,CV_2,I,6.2,3.79,17.6,44.32
Triticum aestivum,Field_1,CV_2,I,6.32,2.67,12.24,27.43
Triticum aestivum,Field_1,CV_2,I,6.24,2.64,12.34,27.72
Triticum aestivum,Field_1,CV_2,I,7.05,3.02,16.19,39.69
Triticum aestivum,Field_1,CV_2,I,6.79,3.84,20.58,54.51
Triticum aestivum,Field_1,CV_2,I,6.5,3.05,15.48,37.39
Triticum aestivum,Field_1,CV_2,I,6.87,3.44,17.64,44.47
Triticum aestivum,Field_1,CV_2,I,5.14,2.13,7.92,15.43
Triticum aestivum,Field_1,CV_2,I,6.85,3.27,16.24,39.84
Triticum aestivum,Field_1,CV_2,I,6.13,2.88,13.23,30.38
Triticum aestivum,Field_1,CV_2,I,6.42,2.7,13.22,30.35
Triticum aestivum,Field_1,CV_2,I,6.31,3.53,17.51,44.02
Triticum aestivum,Field_1,CV_2,I,6.01,3.16,14.38,33.92
Triticum aestivum,Field_1,CV_2,I,6.95,3.59,19.73,51.56
Triticum aestivum,Field_1,CV_2,I,5.91,3.01,13.14,30.11
Triticum aestivum,Field_1,CV_2,I,6.92,3.36,18.06,45.86
Triticum aestivum,Field_1,CV_2,I,6.4,3.46,16.99,42.3
Triticum aestivum,Field_1,CV_2,I,7.1,2.94,14.8,35.25
Triticum aestivum,Field_1,CV_2,I,5.57,3.78,15.9,38.75
Triticum aestivum,Field_1,CV_2,I,6.8,3.77,19.46,50.61
Triticum aestivum,Field_1,CV_2,I,6.98,2.72,13.82,32.19
Triticum aestivum,Field_1,CV_2,I,7.12,4.13,21.05,56.16
Triticum aestivum,Field_1,CV_2,I,6.32,3.65,17.48,43.91
Triticum aestivum,Field_1,CV_2,I,6.9,3.93,20.9,55.63
Triticum aestivum,Field_1,CV_2,I,6.42,3.56,17.21,43.03
Triticum aestivum,Field_1,CV_2,I,6.54,3.27,16.43,40.47
Triticum aestivum,Field_1,CV_2,I,6.79,3.05,15.56,37.64
Triticum aestivum,Field_1,CV_2,I,5.43,2.83,11.08,24.02
Triticum aestivum,Field_1,CV_2,I,7.13,3.68,20.44,54.02
Triticum aestivum,Field_1,CV_2,I,6.61,2.87,13.75,31.98
Triticum aestivum,Field_1,CV_2,I,6.03,3.34,15.35,36.99
Triticum aestivum,Field_1,CV_2,I,6.01,3.07,13.56,31.4
Triticum aestivum,Field_1,CV_2,I,5.87,2.04,8.88,17.94
Triticum aestivum,Field_1,CV_2,I,6.05,3.58,16.1,39.38
Triticum aestivum,Field_1,CV_2,I,6.85,3.45,18.4,46.99
Triticum aestivum,Field_1,CV_2,I,6.49,3.02,14.82,35.31
Triticum aestivum,Field_1,CV_2,I,6.11,3.36,15.92,38.81
Triticum aestivum,Field_1,CV_2,I,5.98,2.45,10.36,21.99
Triticum aestivum,Field_1,CV_2,I,6.62,4.34,21.22,56.75
Triticum aestivum,Field_1,CV_2,I,6.13,2.96,13.65,31.68
Triticum aestivum,Field_1,CV_2,I,6.57,3.4,17.8,45.0
Triticum aestivum,Field_1,CV_2,I,7.68,3.88,22.67,61.94
Triticum aestivum,Field_1,CV_2,I,5.78,2.91,12.85,29.23
Triticum aestivum,Field_1,CV_2,I,6.31,2.5,11.83,26.21
Triticum aestivum,Field_1,CV_2,I,6.15,2.99,14.0,32.74
Triticum aestivum,Field_1,CV_2,I,6.61,2.96,14.71,34.95
Triticum aestivum,Field_1,CV_2,I,6.13,3.26,15.56,37.64
Triticum aestivum,Field_1,CV_2,I,6.38,3.76,17.43,43.76
Triticum aestivum,Field_1,CV_2,I,7.07,3.59,19.51,50.79
Triticum aestivum,Field_1,CV_2,I,5.91,2.71,12.01,26.75
Triticum aestivum,Field_1,CV_2,I,6.73,3.36,16.92,42.06
Triticum aestivum,Field_1,CV_2,I,6.05,3.14,14.4,34.0
Triticum aestivum,Field_1,CV_2,I,6.26,3.49,16.91,42.03
Triticum aestivum,Field_1,CV_2,I,6.13,2.44,11.4,24.97
Triticum aestivum,Field_1,CV_2,I,6.8,4.29,21.86,59.02
Triticum aestivum,Field_1,CV_2,I,6.44,3.93,19.82,51.86
Triticum aestivum,Field_1,CV_2,I,6.22,2.33,10.59,22.64
Triticum aestivum,Field_1,CV_2,I,6.67,3.72,19.21,49.76
Triticum aestivum,Field_1,CV_2,I,5.46,3.73,15.64,37.93
Triticum aestivum,Field_1,CV_2,I,6.06,2.7,12.39,27.85
Triticum aestivum,Field_1,CV_2,I,6.4,3.08,14.65,34.78
Triticum aestivum,Field_1,CV_2,I,6.2,3.72,18.11,46.01
Triticum aestivum,Field_1,CV_2,I,6.11,3.31,15.94,38.86
Triticum aestivum,Field_1,CV_2,I,6.34,3.08,14.93,35.64
Triticum aestivum,Field_1,CV_2,I,6.16,3.52,16.87,41.89
Triticum aestivum,Field_1,CV_2,I,6.57,3.5,17.72,44.7
