type,name,rankingPosition,priceLevel,category,rating,phone,address,email,webUrl,website,rankingDenominator,rankingString,numberOfReviews
ATTRACTION,R. Premadasa Stadium,19,,attraction,4.0,+94 11 2 681601,"Khettarama Road Maligawatta, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d3548025-Reviews-R_Premadasa_Stadium-Colombo_Western_Province.html,http://www.srilankacricket.lk,156,#19 of 156 things to do in Colombo,184
ATTRACTION,Number 11,18,,attraction,4.5,+94 11 4 337335,"No. 11 33rd Lane, Bagatelle Road Colombo 3, Colombo 00300 Sri Lanka",admin@gbtrust.net,https://www.tripadvisor.com/Attraction_Review-g293962-d5970248-Reviews-Number_11-Colombo_Western_Province.html,https://geoffreybawa.com/number-11,156,#18 of 156 things to do in Colombo,148
ATTRACTION,Wolvendaal Church,22,,attraction,4.0,+94 11 2 360577,"Wolfendhal Street, Colombo 01100 Sri Lanka",stanley.nelson65@yahoo.co.uk,https://www.tripadvisor.com/Attraction_Review-g293962-d2452003-Reviews-Wolvendaal_Church-Colombo_Western_Province.html,http://wolvendaal.org/churches-monuments/wolvendaal-church-colombo,156,#22 of 156 things to do in Colombo,141
ATTRACTION,Colombo Fort,17,,attraction,4.0,+94 71 865 8922,"Galle Buck, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d2487412-Reviews-Colombo_Fort-Colombo_Western_Province.html,http://colombofort.com/fort.streets.buildings.htm,156,#17 of 156 things to do in Colombo,352
ATTRACTION,Independence Memorial Hall,11,,attraction,4.0,,"Independence Square, Colombo 00700 Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,http://www.museum.gov.lk/web/index.php?option=com_regionalm&task=regionalmuseum&id=10&Itemid=75&lang=en,156,#11 of 156 things to do in Colombo,477
ATTRACTION,Old Parliament Building,13,,attraction,4.0,+94 77 838 3798,"Fort, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,,156,#13 of 156 things to do in Colombo,318
ATTRACTION,Ballys Casino,20,,attraction,4.0,+94 11 2 460460,"34 D R Wijayawardena Mawatha, Colombo 01000 Sri Lanka",info@ballyscolombo.com,https://www.tripadvisor.com/Attraction_Review-g293962-d6697019-Reviews-Ballys_Casino-Colombo_Western_Province.html,http://www.ballyscolombo.com/,156,#20 of 156 things to do in Colombo,280
ATTRACTION,Temple of Sri Kailawasanathan Swami Devasthanam Kovil,4,,attraction,4.0,+94 11 2 687110,"Colombo District Hindu Temple No.11/15, Kovil Street, Captain's Garden, Maradana, Colombo-10, Colombo 01000 Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d4559565-Reviews-Temple_of_Sri_Kailawasanathan_Swami_Devasthanam_Kovil-Colombo_Western_Province.html,http://www.srikaileswaram.com,156,#4 of 156 things to do in Colombo,354
ATTRACTION,Independence Square,7,,attraction,4.0,,"Independence Avenue, Colombo 00700 Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d3519240-Reviews-Independence_Square-Colombo_Western_Province.html,,156,#7 of 156 things to do in Colombo,829
ATTRACTION,Seema Malakaya Temple,9,,attraction,4.0,+94 11 2 327084,"Sir James Pieris Mawatha, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d2536790-Reviews-Seema_Malakaya_Temple-Colombo_Western_Province.html,http://visitcolombo.com/content/49-seema-malaka-temple,156,#9 of 156 things to do in Colombo,422
ATTRACTION,Sri Ponnambalam Vanesar Kovil,16,,attraction,4.5,,"Kotahena, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d3870228-Reviews-Sri_Ponnambalam_Vanesar_Kovil-Colombo_Western_Province.html,,156,#16 of 156 things to do in Colombo,105
ATTRACTION,Dutch Hospital Shopping Precinct,12,,attraction,4.0,+94 11 5 288002,"Hospital Street Galle Fort, Colombo 00001 Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,https://www.facebook.com/DutchHospital,156,#12 of 156 things to do in Colombo,963
ATTRACTION,Colombo National Museum,14,,attraction,4.0,+94 77 838 3798,"Albert Crescent, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-Colombo_National_Museum-Colombo_Western_Province.html,http://www.museum.gov.lk,156,#14 of 156 things to do in Colombo,1333
ATTRACTION,St Anthony's Shrine,2,,attraction,4.5,,"St Anthony's Mawatha Kochchikade, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d3948711-Reviews-St_Anthony_s_Shrine-Colombo_Western_Province.html,,156,#2 of 156 things to do in Colombo,277
ATTRACTION,Pettah,29,,attraction,3.5,+94 11 2 448466,Colombo Sri Lanka,,https://www.tripadvisor.com/Attraction_Review-g293962-d447445-Reviews-Pettah-Colombo_Western_Province.html,http://www.srilankatouritineraries.com,156,#29 of 156 things to do in Colombo,304
ATTRACTION,Jami Ul-Alfar Mosque,6,,attraction,4.0,+94 11 2 430750,"Second Cross Street, Colombo 01100 Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,http://www.redmasjid.com,156,#6 of 156 things to do in Colombo,442
RESTAURANT,Paradise Road The Gallery Cafe,47,$$$$,restaurant,4.5,+94 11 2 582162,"2 Alfred House Road, Colombo 00300 Sri Lanka",gallerycafe@paradiseroad.lk,https://www.tripadvisor.com/Restaurant_Review-g293962-d802748-Reviews-Paradise_Road_The_Gallery_Cafe-Colombo_Western_Province.html,http://www.paradiseroad.lk/gallery_cafe/,832,"#47 of 1,007 places to eat in Colombo",2403
ATTRACTION,Viharamahadevi Park,5,,attraction,4.0,+94 11 2 675519,Colombo Sri Lanka,,https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,http://srilankatouritineraries.com/viharamahadevi-park,156,#5 of 156 things to do in Colombo,711
ATTRACTION,Kelaniya Raja Maha Vihara,1,,attraction,4.5,+94 11 2 911505,Colombo Sri Lanka,info@weclanka.com,https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,http://www.kelaniyatemple.org/,156,#1 of 156 things to do in Colombo,624
ATTRACTION,Galle Face Green,15,,attraction,4.0,+94 77 749 4959,"Galle Road, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d3195710-Reviews-Galle_Face_Green-Colombo_Western_Province.html,http://gallefacehotel.com,156,#15 of 156 things to do in Colombo,2030
ATTRACTION,Mount Lavinia Beach,10,,attraction,4.0,+94 77 670 0439,Colombo Sri Lanka,,https://www.tripadvisor.com/Attraction_Review-g293962-d554029-Reviews-Mount_Lavinia_Beach-Colombo_Western_Province.html,http://www.plantationhotels.com,156,#10 of 156 things to do in Colombo,1516
ATTRACTION,Gangaramaya (Vihara) Buddhist Temple,3,,attraction,4.0,+94 11 2 435169,"61 Sri Jinaratana Road, Colombo Sri Lanka",,https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Vihara_Buddhist_Temple-Colombo_Western_Province.html,http://gangaramaya.com,156,#3 of 156 things to do in Colombo,3130
RESTAURANT,Crystal Jade,41,$$$$,restaurant,4.5,+94 11 2 044490,"Level 6, One Galle Face Mall, Colombo 00200 Sri Lanka",,https://www.tripadvisor.com/Restaurant_Review-g293962-d19403015-Reviews-Crystal_Jade-Colombo_Western_Province.html,https://crystaljade.lk/,832,"#41 of 1,007 places to eat in Colombo",124
RESTAURANT,Kuuraku Japanese Restaurant,177,$$ - $$$,restaurant,4.0,+94 11 2 307600,"48B Park Street Mews, Colombo 00200 Sri Lanka",kuuraku.psm@gmail.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d10789281-Reviews-Kuuraku_Japanese_Restaurant-Colombo_Western_Province.html,https://www.facebook.com/kuurakucolombo/,832,"#177 of 1,007 places to eat in Colombo",132
RESTAURANT,Royal Thai - Cinnamon Lakeside,39,$$ - $$$,restaurant,4.5,+94 11 2 491945,"115 Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 Sri Lanka",royalthai@cinnamonhotels.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d1809583-Reviews-Royal_Thai_Cinnamon_Lakeside-Colombo_Western_Province.html,http://www.cinnamonlakeside.com,832,"#39 of 1,007 places to eat in Colombo",617
RESTAURANT,Cafe Shaze,56,$$ - $$$,restaurant,4.5,+94 76 776 6765,"56 Horton Pl, Colombo 00700 Sri Lanka",,https://www.tripadvisor.com/Restaurant_Review-g293962-d6725690-Reviews-Cafe_Shaze-Colombo_Western_Province.html,http://www.cafeshaze.lk,832,"#56 of 1,007 places to eat in Colombo",336
RESTAURANT,Barefoot Garden Cafe,49,$$ - $$$,restaurant,4.0,+94 11 2 589305,"704 Galle Rd Kollupitiya, Colombo 00300 Sri Lanka",cafe@barefoot.lk,https://www.tripadvisor.com/Restaurant_Review-g293962-d1132743-Reviews-Barefoot_Garden_Cafe-Colombo_Western_Province.html,http://www.barefootceylon.com,832,"#49 of 1,007 places to eat in Colombo",1571
HOTEL,The Steuart by Citrus,26,$,hotel,4.0,+94 11 5 575575,"45 Janadhipathi Mawatha, Colombo 01000 Sri Lanka",info@thesteuart.lk,https://www.tripadvisor.com/Hotel_Review-g293962-d8139651-Reviews-The_Steuart_by_Citrus-Colombo_Western_Province.html,https://www.citrusleisure.com/steuart/,129,#26 of 129 hotels in Colombo,616
HOTEL,Hotel MaRadha Colombo,4,$,hotel,5.0,+94 11 2 550136,"31 St Kilda's Lane Marine Drive, Colombo 00300 Sri Lanka",sales@maradha.lk,https://www.tripadvisor.com/Hotel_Review-g293962-d24014431-Reviews-Hotel_MaRadha_Colombo-Colombo_Western_Province.html,http://maradha.lk,129,#4 of 129 hotels in Colombo,84
HOTEL,Grand Oriental Hotel,49,$,hotel,3.0,+94 11 2 320320,"2 York Street, Colombo 00200 Sri Lanka",sales@gransoriental.com,https://www.tripadvisor.com/Hotel_Review-g293962-d455917-Reviews-Grand_Oriental_Hotel-Colombo_Western_Province.html,http://www.grandoriental.com,129,#49 of 129 hotels in Colombo,743
HOTEL,Mirage Hotel Colombo,29,$,hotel,4.0,+94 76 673 6000,"61, Moors Road on Marine Drive Wellawatte, Colombo Colombo 06 Sri Lanka",salesmgr@miragecolombo.com,https://www.tripadvisor.com/Hotel_Review-g293962-d5892306-Reviews-Mirage_Hotel_Colombo-Colombo_Western_Province.html,http://www.miragecolombo.com,129,#29 of 129 hotels in Colombo,463
HOTEL,C 1 Colombo Fort,6,$,hotel,4.5,+94 11 2 389695,"37 Mudalige Mawatha Road, Colombo 00100 Sri Lanka",c1forthotel@gmail.com,https://www.tripadvisor.com/Hotel_Review-g293962-d13292575-Reviews-C_1_Colombo_Fort-Colombo_Western_Province.html,http://c1fortcolombo.com/,266,#6 of 266 Specialty lodging in Colombo,126
HOTEL,Jetwing Colombo Seven,18,$$,hotel,4.5,+94 11 4 709400,"57, Ward Place, Colombo 7, Colombo Sri Lanka",,https://www.tripadvisor.com/Hotel_Review-g293962-d10626598-Reviews-Jetwing_Colombo_Seven-Colombo_Western_Province.html,http://www.jetwinghotels.com/jetwingcolomboseven/,129,#18 of 129 hotels in Colombo,950
HOTEL,The Kingsbury Hotel,8,$$,hotel,4.5,+94 11 2 421221,"48 Janadhipathi Mawatha Colombo 1, Colombo 00100 Sri Lanka",info@thekingsburyhotel.com,https://www.tripadvisor.com/Hotel_Review-g293962-d3801214-Reviews-The_Kingsbury_Hotel-Colombo_Western_Province.html,http://www.thekingsburyhotel.com,129,#8 of 129 hotels in Colombo,4876
HOTEL,Renuka City Hotel,32,$,hotel,3.5,+94 11 2 573598,"328 Galle Road Colombo 3, Colombo Sri Lanka",renukaht@renukahotel.com,https://www.tripadvisor.com/Hotel_Review-g293962-d498698-Reviews-Renuka_City_Hotel-Colombo_Western_Province.html,http://www.renukahotel.com,129,#32 of 129 hotels in Colombo,789
HOTEL,Mandarina Colombo,9,$,hotel,4.5,+94 11 2 550660,"433 Galle Road Colombo 03, Colombo 00300 Sri Lanka",sales@mandarinacolombo.com,https://www.tripadvisor.com/Hotel_Review-g293962-d12002902-Reviews-Mandarina_Colombo-Colombo_Western_Province.html,http://www.mandarinacolombo.com/,129,#9 of 129 hotels in Colombo,1127
HOTEL,Colombo Court Hotel & Spa,7,$,hotel,4.5,+94 11 4 645333,"32 Alfred House Ave, Colombo 00300 Sri Lanka",info@colombocourthotel.com,https://www.tripadvisor.com/Hotel_Review-g293962-d2467186-Reviews-Colombo_Court_Hotel_Spa-Colombo_Western_Province.html,http://www.colombocourthotel.com,129,#7 of 129 hotels in Colombo,1216
RESTAURANT,Seafood Cove,1,$$ - $$$,restaurant,4.5,(011) 271 5221 7,"100 Hotel Rd Mt Lavinia, Mount Lavinia, Dehiwala-Mount Lavinia 10370 Sri Lanka",,https://www.tripadvisor.com/Restaurant_Review-g16740785-d1133608-Reviews-Seafood_Cove-Mount_Lavinia_Dehiwala_Mount_Lavinia_Western_Province.html,http://www.mountlaviniahotel.com/front/restaurantandbars_details.php,12,#1 of 19 places to eat in Mount Lavinia,419
RESTAURANT,Sugar Bistro & Wine Bar,48,$$ - $$$,restaurant,4.5,+94 11 2 446229,"Crescat Boulevard, Lobby -L1 Colombo 00300, Colombo Sri Lanka",info@sugarcolombo.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d3600839-Reviews-Sugar_Bistro_Wine_Bar-Colombo_Western_Province.html,http://sugarcolombo.com/,832,"#48 of 1,007 places to eat in Colombo",719
HOTEL,Cinnamon Red Colombo,12,$,hotel,4.5,+94 11 2 145145,"59 Ananda Coomaraswamy Mawatha, Colombo 00300 Sri Lanka",info@cinnamonhotels.com,https://www.tripadvisor.com/Hotel_Review-g293962-d6912248-Reviews-Cinnamon_Red_Colombo-Colombo_Western_Province.html,http://www.cinnamonhotels.com/cinnamonredcolombo,129,#12 of 129 hotels in Colombo,3964
HOTEL,ME Colombo,3,$,hotel,5.0,+94 11 7 654321,"16 Park Road, Colombo 5 Sri Lanka",reservations@mecolombo.com,https://www.tripadvisor.com/Hotel_Review-g293962-d13160059-Reviews-ME_Colombo-Colombo_Western_Province.html,http://mecolombo.com/,129,#3 of 129 hotels in Colombo,882
HOTEL,Granbell Hotel Colombo,20,$,hotel,4.5,+94 11 2 397397,"282/5 Kollupitiya Road Colombo 03, Colombo 00300 Sri Lanka",reservations1@granbellhotel.lk,https://www.tripadvisor.com/Hotel_Review-g293962-d23958991-Reviews-Granbell_Hotel_Colombo-Colombo_Western_Province.html,https://granbellhotel.lk/,129,#20 of 129 hotels in Colombo,524
HOTEL,Cinnamon Grand Colombo,1,$$,hotel,4.5,+94 11 2 437437,"77 Galle Road, Colombo 00300 Sri Lanka",grand@cinnamonhotels.com,https://www.tripadvisor.com/Hotel_Review-g293962-d597086-Reviews-Cinnamon_Grand_Colombo-Colombo_Western_Province.html,http://www.cinnamonhotels.com/en/cinnamongrandcolombo/,129,#1 of 129 hotels in Colombo,14179
HOTEL,"Taj Samudra, Colombo",5,$$,hotel,4.5,+94 11 2 446622,"25 Galle Face Center Road, Colombo 00300 Sri Lanka",reservations.samudra@tajhotels.com,https://www.tripadvisor.com/Hotel_Review-g293962-d304700-Reviews-Taj_Samudra_Colombo-Colombo_Western_Province.html,https://www.tajhotels.com/en-in/taj/taj-samudra-colombo/,129,#5 of 129 hotels in Colombo,5174
RESTAURANT,Honey Beach Club,35,$$ - $$$,restaurant,4.5,+94 77 108 7720,"48 Janadhipathi Mawatha Lobby Level, Ground Floor, Colombo 00100 Sri Lanka",,https://www.tripadvisor.com/Restaurant_Review-g293962-d12922777-Reviews-Honey_Beach_Club-Colombo_Western_Province.html,http://indulgence.thekingsburyhotel.com/,832,"#35 of 1,007 places to eat in Colombo",268
HOTEL,Pearl Grand By Rathna,39,$,hotel,4.5,+94 11 2 597444,"No. 09 Edward Lane, Colombo 00300 Sri Lanka",info@pearlgrand.lk,https://www.tripadvisor.com/Hotel_Review-g293962-d25055235-Reviews-Pearl_Grand_By_Rathna-Colombo_Western_Province.html,https://www.pearlgrand.lk/,129,#39 of 129 hotels in Colombo,50
HOTEL,Zylan Colombo,17,$,hotel,4.5,+94 11 2 686883,"115 Rosmead Place, Colombo 00700 Sri Lanka",info@zylan.lk,https://www.tripadvisor.com/Hotel_Review-g293962-d2548789-Reviews-Zylan_Colombo-Colombo_Western_Province.html,http://www.zylan.lk,237,#17 of 237 B&Bs / Inns in Colombo,220
HOTEL,The Ocean Colombo,31,$,hotel,4.0,+94 11 5 110000,"No 40 Melbourne Avenue on Marine Drive, Colombo 00400 Sri Lanka",info@theoceancolombo.com,https://www.tripadvisor.com/Hotel_Review-g293962-d6887404-Reviews-The_Ocean_Colombo-Colombo_Western_Province.html,http://www.theoceancolombo.com,129,#31 of 129 hotels in Colombo,455
RESTAURANT,Sea Fish Restaurant,42,$$ - $$$,restaurant,4.5,+94 11 2 326915,"15 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka",,https://www.tripadvisor.com/Restaurant_Review-g293962-d1133606-Reviews-Sea_Fish_Restaurant-Colombo_Western_Province.html,http://www.seafishcolombo.com/,832,"#42 of 1,007 places to eat in Colombo",536
RESTAURANT,Lagoon,32,$$$$,restaurant,4.5,+94 11 2 437437,"117 Sir Chittampalam A Gardiner Mawatha Cinnamon Grand Colombo, Colombo 00100 Sri Lanka",,https://www.tripadvisor.com/Restaurant_Review-g293962-d1007094-Reviews-Lagoon-Colombo_Western_Province.html,http://www.cinnamonhotels.com/cinnamongrandcolombo/dining/lagoon.html,832,"#32 of 1,007 places to eat in Colombo",2151
RESTAURANT,Colom Bar,55,$$ - $$$,restaurant,4.5,+94 11 2 491948,"115 Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 Sri Lanka",lakeside@cinnamonhotels.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d20223442-Reviews-Colom_Bar-Colombo_Western_Province.html,https://www.cinnamonhotels.com/cinnamonlakesidecolombo/experiences/Colombar,832,"#55 of 1,007 places to eat in Colombo",245
HOTEL,Movenpick Hotel Colombo,10,$$,hotel,4.5,+94 11 7 450450,"24 Dharmapala Mawatha Dharmapala Mawatha, Colombo 00300 Sri Lanka",hotel.colombo@movenpick.com,https://www.tripadvisor.com/Hotel_Review-g293962-d11953119-Reviews-Movenpick_Hotel_Colombo-Colombo_Western_Province.html,http://www.movenpick.com/en/asia/sri-lanka/colombo/movenpick-hotel-colombo/overview/,129,#10 of 129 hotels in Colombo,2146
HOTEL,Shangri-La Colombo,17,$$$,hotel,4.5,01194117888288,"1 Galle Face Colombo 2, Colombo 00200 Sri Lanka",slcb@shangri-la.com,https://www.tripadvisor.com/Hotel_Review-g293962-d12720953-Reviews-Shangri_La_Colombo-Colombo_Western_Province.html,http://www.shangri-la.com/colombo/shangrila/,129,#17 of 129 hotels in Colombo,2252
HOTEL,Galle Face Hotel,21,$$,hotel,4.5,+94 11 7 541010,"2 Galle Road, Colombo 300 Sri Lanka",reservations@gallefacehotel.net,https://www.tripadvisor.com/Hotel_Review-g293962-d2038179-Reviews-Galle_Face_Hotel-Colombo_Western_Province.html,http://www.gallefacehotel.com/,129,#21 of 129 hotels in Colombo,3178
RESTAURANT,Flavoured at Cinnamon Red,44,$$ - $$$,restaurant,4.5,+94 11 2 145176,"59 Ananda Coomaraswamy MW, Colombo 03 59, Ananda Coomaraswamy Mawatha, Colombo Sri Lanka",shaned@cinnamonhotels.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d9739661-Reviews-Flavoured_at_Cinnamon_Red-Colombo_Western_Province.html,http://www.cinnamonhotels.com/cinnamonredcolombo/dining/flavoured.html,832,"#44 of 1,007 places to eat in Colombo",159
RESTAURANT,Chutneys At Cinnamon Grand Colombo,33,$$ - $$$,restaurant,4.5,+94 11 2 497372,"77 Galle Road, Colombo 00300 Sri Lanka",,https://www.tripadvisor.com/Restaurant_Review-g293962-d1874044-Reviews-Chutneys_At_Cinnamon_Grand_Colombo-Colombo_Western_Province.html,http://www.cinnamonhotels.com/cinnamongrandcolombo/dining/chutneys.html,832,"#33 of 1,007 places to eat in Colombo",1955
HOTEL,Ramada by Wyndham Colombo,11,$$,hotel,4.5,+94 77 754 4717,"30 Sir Mohamed Macan Markar Mawatha, Colombo 00300 Sri Lanka",info@ramadacolombo.com,https://www.tripadvisor.com/Hotel_Review-g293962-d306381-Reviews-Ramada_by_Wyndham_Colombo-Colombo_Western_Province.html,http://www.wyndhamhotels.com/en-uk/ramada/colombo-sri-lanka/ramada-colombo/overview,129,#11 of 129 hotels in Colombo,1687
HOTEL,Zest Metropole,44,$,hotel,4.5,+ 94 74 143 4343,"43 Hospital St, Colombo 00100 Sri Lanka",reservations@zestmetropole.com,https://www.tripadvisor.com/Hotel_Review-g293962-d23907381-Reviews-Zest_Metropole-Colombo_Western_Province.html,http://zestmetropole.com,129,#44 of 129 hotels in Colombo,19
RESTAURANT,Oak Ray Flower Drum Restaurant,31,$$ - $$$,restaurant,4.5,+94 11 2 577350,"38 Thurstan Road Colombo 03, Colombo 00300 Sri Lanka",flower_drum@aol.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d817490-Reviews-Oak_Ray_Flower_Drum_Restaurant-Colombo_Western_Province.html,http://www.oakrayhotels.com,832,"#31 of 1,007 places to eat in Colombo",663
HOTEL,Fairview Hotel,27,$,hotel,4.5,+94 11 2 058392,"Ramakrishna Road, Colombo 00600 Sri Lanka",info@fairviewhotel.lk,https://www.tripadvisor.com/Hotel_Review-g293962-d8643886-Reviews-Fairview_Hotel-Colombo_Western_Province.html,http://www.tangerinehotels.com/fairview/,129,#27 of 129 hotels in Colombo,276
RESTAURANT,Isso,57,$$ - $$$,restaurant,4.5,+94 11 7 770300,"2 Sulaiman Terrace Green Path, Colombo 00500 Sri Lanka",hello@isso.lk,https://www.tripadvisor.com/Restaurant_Review-g293962-d10157533-Reviews-Isso-Colombo_Western_Province.html,http://www.isso.lk,832,"#57 of 1,007 places to eat in Colombo",312
RESTAURANT,Palmyrah Restaurant,58,$$ - $$$,restaurant,4.5,+94 11 2 573598,"328 Galle Rd Kollupitiya, Colombo 3 Sri Lanka",renukaht@renukahotel.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d1133594-Reviews-Palmyrah_Restaurant-Colombo_Western_Province.html,http://www.renukacityhotel.com,832,"#58 of 1,007 places to eat in Colombo",329
RESTAURANT,Navratna,34,$$$$,restaurant,4.5,+94 11 2 446622,"Taj Samudra, No. 25, Galle Face Centre Road, Colombo 03, Colombo Sri Lanka",tshgm.colombo@tajhotels.com,https://www.tripadvisor.com/Restaurant_Review-g293962-d2654878-Reviews-Navratna-Colombo_Western_Province.html,http://taj.tajhotels.com/en-in/taj-samudra-colombo/restaurants/navratna-restaurant/,832,"#34 of 1,007 places to eat in Colombo",334
HOTEL,Marino Beach Colombo,14,$$,hotel,4.5,01194112375375,"590 Marine Drive, Colombo 00300 Sri Lanka",info@marinobeach.com,https://www.tripadvisor.com/Hotel_Review-g293962-d14106301-Reviews-Marino_Beach_Colombo-Colombo_Western_Province.html,http://www.marinobeach.com,129,#14 of 129 hotels in Colombo,1370
HOTEL,Lavonca Boutique Hotel,47,$,hotel,4.0,+94 11 2 431700,"8 Boyd Place, Colombo 00300 Sri Lanka",info@lavonca.com,https://www.tripadvisor.com/Hotel_Review-g293962-d15557919-Reviews-Lavonca_Boutique_Hotel-Colombo_Western_Province.html,https://www.facebook.com/lavoncaboutiquehotel/,129,#47 of 129 hotels in Colombo,37
